actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-10.0001,0.184,0.18246,0
0,0,-5.76002,0.230104,0.231317,1
1,0,-3.13,0.252336,0.257282,1
0,0,-6.06002,0.276134,0.280561,1
0,0,-3.64,0.328302,0.322957,1
0,0,-1.64,0.369231,0.350877,1
0,0,-10.0001,0.395,0.395161,0
0,0,-8.25007,0.407497,0.405672,1
0,0,-7.64006,0.485714,0.48554,1
1,0,-5.65001,0.497854,0.495633,1
0,0,-4.89,0.502564,0.497382,1
0,0,-10.0001,0.558,0.55746,0
0,0,-3.17,0.555046,0.552381,1
0,0,-5.02,0.51861,0.518987,1
0,0,-9.7201,0.449692,0.447808,1
0,0,-10.0001,0.587,0.58871,0
0,0,-6.87004,0.610544,0.613793,1
1,0,-10.0001,0.637,0.640121,0
0,0,-9.91011,0.649103,0.650452,1
0,0,-10.3001,0.673469,0.670639,1
0,0,-1.73,0.72973,0.727273,1
0,0,-8.99011,0.462,0.460366,0
0,0,-2.86,0.604278,0.614525,1
0,0,-8.6201,0.650463,0.650943,1
0,0,-3.86,0.644599,0.641577,1
1,0,-2.32,0.699248,0.696,1
0,0,-7.69007,0.570687,0.570861,1
0,0,-7.98006,0.670959,0.670043,1
1,0,-7.28007,0.654795,0.656863,1
0,0,-10.0001,0.682,0.681452,0
0,0,-8.93011,0.635754,0.63595,1
0,0,-2.9,0.712042,0.710383,1
1,0,-6.08002,0.495082,0.491582,1
0,0,-7.35005,0.473541,0.471567,1
0,0,-10.0001,0.697,0.698589,0
1,0,-6.85004,0.694539,0.690311,1
0,0,-8.77008,0.343572,0.341831,1
0,0,-7.56006,0.701674,0.699538,1
1,1,-2.88,0.489655,0.485401,1
0,0,-1.37,0.323741,0.276423,1
0,0,-8.28009,0.301205,0.297297,1
1,0,-6.62003,0.490964,0.487654,1
0,0,-10.0001,0.716,0.715726,0
1,1,-10.2101,0.327549,0.326039,1
0,0,-4.39,0.726471,0.725904,1
0,0,-4.12,0.332268,0.318033,1
0,0,-8.99011,0.342,0.337398,0
1,2,-8.99009,0.7275,0.731061,1
0,0,-7.95006,0.388959,0.387964,1
0,0,-1.98,0.485,0.440217,1
1,2,-5.1,0.408759,0.409429,1
0,1,-6.56003,0.545781,0.544627,1
1,2,-8.99013,0.555,0.557927,0
0,2,-8.99011,0.502,0.501016,0
1,1,-5.94002,0.548658,0.546552,1
0,2,-10.0001,0.755,0.757056,0
1,0,-5.25,0.424883,0.416268,1
0,0,-4.58,0.454039,0.444444,1
0,1,-6.43003,0.566176,0.559702,1
0,0,-3,0.830846,0.823834,1
0,2,-4.18,0.683333,0.685644,1
0,2,-10.0001,0.775,0.774194,0
1,1,-7.78006,0.5081,0.503726,1
0,0,-3.48,0.634286,0.634731,1
0,2,-3.47,0.508065,0.504167,1
1,2,-3.8,0.758007,0.758242,1
0,2,-8.18007,0.515994,0.511955,1
1,0,-7.73008,0.658065,0.658762,1
0,2,-4.37,0.837278,0.842424,1
0,2,-4.68,0.521277,0.515419,1
0,0,-1.59,0.483333,0.442308,1
1,2,-8.99013,0.608,0.607724,0
0,0,-9.5101,0.805164,0.806872,1
1,2,-8.88008,0.82763,0.827145,1
0,0,-10.0001,0.822,0.821573,0
1,2,-7.29005,0.830159,0.832797,1
0,0,-3.49,0.884,0.884298,1
0,1,-4.19,0.859375,0.862179,1
0,1,-1.69,0.48538,0.470968,1
0,2,-6.77004,0.8391,0.840351,1
0,0,-3.81,0.588843,0.593478,1
0,0,-10.0001,0.849,0.847782,0
1,2,-7.61006,0.845921,0.845566,1
0,0,-10.0001,0.577,0.575605,0
0,1,-10.0001,0.552,0.551411,0
0,0,-7.83006,0.549708,0.547337,1
1,0,-6.20002,0.836852,0.838207,1
0,1,-6.54003,0.58018,0.575868,1
0,0,-8.25007,0.842975,0.845404,1
0,1,-7.75006,0.50193,0.499343,1
0,0,-2.56,0.828025,0.838926,1
1,2,-6.65003,0.574205,0.5681,1
0,0,-5.07,0.561886,0.563895,1
0,2,-8.3401,0.569378,0.568293,1
1,0,-5.32,0.847575,0.849412,1
0,1,-2.81,0.717314,0.726592,1
0,0,-7.98011,0.481,0.480533,0
1,2,-7.46005,0.474599,0.471311,1
0,0,-9.16009,0.823745,0.825711,1
0,0,-1.99,0.81,0.815217,1
0,0,-2.71,0.598837,0.597561,1
0,0,-5.66001,0.71831,0.721014,1
0,0,-8.99012,0.643,0.646341,0
0,0,-6.31003,0.693523,0.693679,1
0,1,-2.07,0.824074,0.83,1
1,1,-10.0001,0.619,0.61996,0
0,0,-8.01009,0.809465,0.817027,1
0,0,-6.26003,0.57685,0.572254,1
1,2,-8.99011,0.603,0.603659,0
2,2,-4.5,0.615385,0.612245,1
0,0,-6.49003,0.598182,0.597786,1
0,0,-2.65,0.843373,0.860759,1
0,2,-5.97002,0.84739,0.84898,1
0,1,-10.0001,0.621,0.61996,0
0,1,-5.94002,0.488255,0.482759,1
0,0,-10.0001,0.608,0.606855,0
0,1,-2.37,0.862319,0.861538,1
0,0,-7.95006,0.837644,0.837209,1
0,1,-5.84002,0.82268,0.825996,1
1,2,-10.0001,0.86,0.859879,0
0,0,-2.02,0.660194,0.652632,1
0,1,-2.78,0.854749,0.859649,1
0,2,-5.03,0.85396,0.853535,1
1,2,-10.0001,0.588,0.585685,0
0,2,-3.47,0.69914,0.711712,1
