actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-2,0.257426,0.285714,1
0,0,-7.69006,0.272374,0.270306,1
1,0,-1.92,0.301695,0.309434,1
0,0,-2.92,0.393782,0.393443,1
1,0,-3.52,0.411067,0.407407,1
2,0,-2.36,0.386861,0.385827,1
0,0,-2.29,0.415385,0.416667,1
0,0,-4.22,0.325879,0.327645,1
0,0,-3.68,0.420074,0.42471,1
0,0,-1.85,0.465116,0.473684,1
0,0,-2.55,0.377432,0.367089,1
1,0,-2.01,0.303922,0.271739,1
2,0,-2.99,0.283582,0.295699,1
3,1,-7.44005,0.328418,0.325069,1
0,0,-1.84,0.404181,0.424125,1
0,0,-4.22,0.365325,0.354633,1
0,0,-2.17,0.559322,0.564815,1
1,0,-4.27,0.47561,0.474843,1
0,1,-4.53999,0.429513,0.410437,1
0,0,-2.18,0.448598,0.450172,1
1,1,-3.27,0.489362,0.504854,1
2,1,-2.77,0.315412,0.297297,1
0,0,-1.5,0.627451,0.634146,1
1,1,-3.67,0.619403,0.620155,1
0,0,-4.51,0.523179,0.524249,1
1,0,-1.58,0.711864,0.734694,1
2,1,-3.04,0.611794,0.625995,1
0,1,-2.08,0.463023,0.448399,1
0,0,-2.19,0.633333,0.645455,1
0,0,-2.6,0.670807,0.682119,1
0,0,-5.2,0.712589,0.710462,1
1,0,-2.91,0.71875,0.714286,1
2,0,-1.1,0.455357,0.478261,1
3,1,-2.01,0.458128,0.453552,1
4,1,-2.87,0.718085,0.719101,1
0,0,-3.67,0.712687,0.717054,1
1,1,-3.97,0.671141,0.670139,1
2,0,-1.74,0.498195,0.493927,1
0,0,-4.04,0.593688,0.589099,1
1,0,-1.38,0.717949,0.689655,1
0,1,-2.59,0.64375,0.64,1
1,1,-4.94,0.548711,0.551672,1
0,0,-2.07,0.645933,0.650794,1
0,0,-3.27,0.649123,0.646789,1
0,0,-3.49,0.638177,0.637462,1
1,1,-2.54,0.644531,0.652542,1
0,0,-2.19,0.675,0.681818,1
0,0,-4.4,0.581952,0.594542,1
1,0,-1.56,0.631579,0.659574,1
2,1,-2.93,0.620339,0.618182,1
0,0,-3.11,0.688679,0.678218,1
1,1,-4.32,0.493458,0.49505,1
2,1,-3.86,0.494888,0.492375,1
0,0,-3.11,0.636792,0.643564,1
0,0,-2.29,0.636364,0.63981,1
0,0,-3.64,0.423497,0.413295,1
0,0,-2.97,0.528428,0.523297,1
0,0,-4.15,0.664557,0.663399,1
1,1,-3.46,0.647773,0.64135,1
0,0,-5.43001,0.671171,0.672811,1
1,1,-1.69,0.642857,0.65,1
0,0,-1.63,0.582707,0.584746,1
0,0,-2.8,0.635359,0.637427,1
0,0,-2.56,0.738854,0.734694,1
0,0,-2.31,0.659091,0.655738,1
1,1,-1.41,0.666667,0.625,1
2,1,-3.18,0.703196,0.703349,1
0,0,-2.41,0.704225,0.704545,1
1,0,-2.59,0.73125,0.726667,1
2,1,-2.52,0.705882,0.72028,1
0,0,-3.52,0.70751,0.703704,1
0,0,-2.47,0.542857,0.528125,1
0,0,-2.46,0.383065,0.355263,1
1,1,-3.94,0.54798,0.539894,1
2,0,-1.85,0.501285,0.498567,1
3,1,-2.03,0.5,0.468085,1
0,0,-2.54,0.570312,0.572034,1
1,0,-2.02,0.70098,0.717391,1
0,0,-3.76,0.558201,0.547486,1
0,0,-1.3,0.55794,0.551724,1
1,0,-6.97006,0.354,0.341667,0
0,0,-2.97,0.237458,0.215054,1
1,0,-1.94,0.705263,0.717647,1
0,0,-3.27,0.693009,0.695793,1
0,0,-1.88,0.647368,0.652941,1
1,1,-1.54,0.745455,0.777778,1
2,0,-1.47,0.791667,0.815789,1
0,0,-2.01,0.784314,0.782609,1
0,0,-2.95,0.77551,0.784946,1
1,0,-2.55,0.769231,0.767123,1
0,0,-3.73999,0.402062,0.387917,1
0,0,-2.71,0.296842,0.282759,1
1,1,-3.26,0.628049,0.623377,1
2,1,-0.519999,0.516129,0.472,1
0,0,-2.01,0.77451,0.782609,1
1,1,-1.97,0.447236,0.435754,1
2,2,-2.91,0.607509,0.608059,1
0,0,-2.47999,0.490826,0.484848,1
0,0,-3.47,0.344444,0.32381,1
1,0,-2.7,0.783626,0.782609,1
0,0,-3.33,0.746269,0.752381,1
1,2,-2.65,0.825301,0.833333,1
0,0,-2.66,0.55597,0.552419,1
1,1,-1.52,0.773585,0.790698,1
0,0,-4.85,0.628447,0.633282,1
0,0,-6.33003,0.551181,0.547967,1
0,0,-2.31,0.519313,0.502347,1
0,0,-1.9,0.802198,0.790123,1
0,0,-2.53,0.857143,0.861111,1
1,0,-3.06,0.625917,0.614776,1
2,1,-1.7,0.622093,0.618421,1
0,0,-3.4,0.616253,0.610169,1
0,0,-2.48,0.852349,0.856115,1
0,0,-5.1,0.856448,0.857855,1
0,0,-2.23,0.846774,0.859649,1
0,0,-1.51,0.865385,0.857143,1
0,0,-3.98,0.852843,0.854671,1
0,0,-5.45001,0.616088,0.611006,1
0,0,-2.92999,0.565,0.557609,0
0,0,-2.74,0.458886,0.443804,1
0,0,-3.56,0.859922,0.862348,1
1,0,-5.63003,0.6997,0.699686,1
2,2,-3.41,0.72973,0.736715,1
0,0,-2.88,0.851852,0.854749,1
1,2,-2.82,0.857924,0.861272,1
0,0,-4.23,0.576471,0.572839,1
1,1,-1.21,0.4375,0.386598,1
0,0,-3.23,0.857143,0.85514,1
1,3,-3.99,0.507968,0.497881,1
2,3,-1.7,0.887324,0.901639,1
3,1,-2.41,0.578488,0.570064,1
0,1,-2.38,0.856115,0.860465,1
0,0,-1.33,0.77037,0.8,1
1,1,-1.29,0.664122,0.657658,1
0,0,-3.65,0.536325,0.527397,1
1,0,-3.28,0.925764,0.931507,1
0,3,-3.86,0.658487,0.655773,1
1,0,-3.01,0.861386,0.859375,1
0,0,-3.61,0.77135,0.772595,1
1,1,-5.31,0.70933,0.720102,1
2,3,-2.48,0.919463,0.928058,1
0,3,-1.8,0.45679,0.408451,1
1,3,-5.12,0.712062,0.710526,1
2,1,-2.05,0.933962,0.927083,1
3,2,-2.47,0.932432,0.934783,1
0,3,-1.8,0.91358,0.929577,1
1,3,-2.01,0.911765,0.923913,1
0,0,-2.31,0.916667,0.92623,1
0,0,-1.85,0.918605,0.921053,1
1,1,-2.07,0.925926,0.928571,1
0,0,-2.76,0.688654,0.687679,1
1,1,-5.17,0.739884,0.743487,1
0,0,-1.94,0.688776,0.681818,1
0,0,-3.04,0.921951,0.928205,1
0,0,-2.17,0.915254,0.925926,1
0,0,-3.87,0.996528,1,1
0,0,-2.2,0.936937,0.950495,1
0,0,-1.64,0.907692,0.927273,1
1,3,-3.52,0.988142,0.99177,1
2,3,-1.91,0.98913,1,1
3,3,-1.68,0.971014,1,1
4,2,-2.57,1,1,1
0,3,-2.12,0.99115,1,1
1,3,-2.44,0.993103,1,1
2,3,-1.92,0.989247,1,1
3,3,-2.44,1,1,1
0,0,-4.65,0.770878,0.769575,1
1,3,-2.69,0.797048,0.804781,1
0,0,-3.11,1,1,1
1,3,-6.07002,0.886699,0.889643,1
