actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-10.0001,0.279,0.278226,0
0,0,-3.3,0.320346,0.327354,1
0,0,-10.0001,0.388,0.391129,0
0,0,-10.0001,0.413,0.410282,0
0,0,-3.62,0.422053,0.419608,1
0,0,-8.99013,0.408,0.405488,0
1,0,-5.09,0.470732,0.462687,1
0,0,-1.84,0.529412,0.545455,1
0,0,-4.02,0.574257,0.572881,1
0,0,-10.0001,0.636,0.637097,0
0,0,-10.7801,0.706844,0.707518,1
0,0,-9.3501,0.712919,0.713768,1
0,0,-10.0001,0.714,0.714718,0
0,0,-10.0001,0.714,0.714718,0
0,0,-10.0001,0.7303,0.730123,1
0,0,-10.0001,0.754,0.754032,0
0,0,-10.0001,0.781,0.782258,0
0,0,-5.07,0.781863,0.7825,1
0,0,-8.99013,0.757,0.759146,0
0,0,-2.67,0.761905,0.76875,1
1,0,-10.0001,0.784,0.785282,0
0,0,-8.99013,0.772,0.772358,0
0,0,-8.99009,0.785,0.785354,1
0,0,-8.99013,0.752,0.755081,0
1,0,-9.5101,0.784038,0.785545,1
0,0,-10.0001,0.785,0.785282,0
0,0,-10.0001,0.785,0.78629,0
1,1,-8.86008,0.78399,0.785623,1
0,0,-8.3501,0.58184,0.580999,1
0,0,-8.99011,0.431,0.426829,0
0,0,-7.98013,0.783,0.784836,0
0,0,-10.0001,0.785,0.785282,0
0,0,-7.98011,0.344,0.33709,0
1,1,-1.97,0.77551,0.788889,1
0,0,-8.99012,0.54,0.539634,0
1,1,-8.99013,0.737,0.738821,0
0,0,-10.0001,0.785,0.785282,0
1,1,-3.29,0.782609,0.783784,1
2,0,-1.5,0.764706,0.790698,1
0,0,-6.43003,0.784926,0.785448,1
0,0,-10.0001,0.786,0.78629,0
1,1,-10.0001,0.316,0.313508,0
2,1,-10.0001,0.786,0.78629,0
0,0,-10.0001,0.786,0.78629,0
0,0,-10.7201,0.784173,0.785492,1
1,1,-10.0001,0.785,0.78629,0
0,0,-2.51,0.494071,0.485232,1
1,0,-8.99013,0.691,0.693089,0
0,0,-2.04,0.708738,0.721053,1
0,0,-10.0001,0.785,0.785282,0
0,0,-8.99011,0.416,0.411585,0
0,0,-7.98013,0.726,0.727459,0
0,0,-10.0001,0.786,0.78629,0
0,1,-8.99013,0.671,0.670732,0
0,0,-10.0001,0.785,0.785282,0
0,0,-2.03,0.769231,0.78125,1
0,0,-7.98009,0.464,0.455943,0
0,0,-10.0001,0.785,0.78629,0
0,0,-8.99011,0.418,0.414634,0
1,1,-10.0001,0.794,0.794355,0
0,0,-10.0001,0.87,0.870968,0
1,1,-10.0001,0.929,0.928427,0
0,0,-2.57,0.917722,0.926667,1
1,1,-8.99013,0.725,0.727642,0
0,0,-10.0001,0.928,0.928427,0
0,0,-6.11004,0.509804,0.505797,1
1,2,-1.72,0.917808,0.923077,1
0,0,-10.0001,0.928,0.928427,0
1,2,-1.5,0.901961,0.930233,1
2,0,-1.48,0.897959,0.926829,1
0,0,-10.0001,0.928,0.928427,0
0,0,-8.99013,0.767,0.768293,0
1,2,-10.0001,0.929,0.928427,0
0,0,-8.99011,0.694,0.693089,0
0,0,-7.98013,0.617,0.615779,0
0,0,-2.89,0.727041,0.733696,1
1,2,-8.99011,0.678,0.678862,0
2,2,-10.0001,0.929,0.928427,0
0,0,-4.79008,0.808184,0.812665,0
0,1,-2.13,0.629845,0.626016,0
1,1,-8.99013,0.881,0.88313,0
0,0,-1.15,0.688995,0.700508,0
0,0,-4.07004,0.716901,0.720117,0
0,0,-3.96002,0.773963,0.782222,0
0,0,-6.75004,0.927083,0.929577,1
0,0,-2.6,0.705234,0.710914,1
1,1,-3.31,0.922414,0.928571,1
0,0,-5.34,0.926437,0.929742,1
0,0,-8.99011,0.761,0.762195,0
1,1,-2.11,0.830986,0.84264,1
2,2,-1.69,0.914286,0.919355,1
0,0,-1.9,0.923077,0.927711,1
0,0,-10.0001,0.928,0.928427,0
0,0,-8.99011,0.536,0.531504,0
0,0,-4.82008,0.797452,0.804205,0
0,0,-10.0001,0.929,0.928427,0
0,0,-1.59,0.863354,0.889655,1
1,1,-1.41,0.904762,0.911765,1
0,0,-2.31,0.924242,0.927419,1
0,0,-7.24005,0.573156,0.569116,1
1,1,-1.2,0.877049,0.877358,1
0,1,-1.62,0.920635,0.927273,1
1,1,-1.69,0.54386,0.529032,1
2,1,-3.82,0.591753,0.590022,1
0,0,-8.99011,0.437,0.432927,0
1,1,-5.62001,0.812057,0.812044,1
2,3,0.550001,0.701613,0.6875,0
0,0,-3.17001,0.579032,0.575503,0
1,1,-8.99013,0.861,0.864837,0
0,0,-7.98012,0.802,0.805328,0
0,0,-5.84002,0.459044,0.447368,1
1,1,-2.62,0.837121,0.842742,1
2,3,-1.17,0.831933,0.834951,1
0,0,-6.70003,0.831845,0.83689,1
1,1,-7.98013,0.77,0.773566,0
2,3,-4.18,0.931035,0.92926,1
0,0,-6.94009,0.903388,0.90815,1
1,1,-3.95002,0.846705,0.857567,0
0,0,-5.98002,0.828333,0.832192,1
1,1,-1.47,0.916667,0.925,1
2,1,-2.05,0.853896,0.862676,1
0,0,-5.29,0.765823,0.764803,1
1,1,-5.32,0.787529,0.785882,1
2,1,-4.67,0.92663,0.930556,1
0,0,-5.99002,0.786,0.784553,1
1,1,-2.59,0.93125,0.934211,1
2,1,-3.92,0.883249,0.888889,1
0,0,-7.75008,0.64123,0.639344,1
0,1,-0.889998,0.915816,0.921196,0
