actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-3.47,0.262097,0.270833,1
0,0,-9.09009,0.282716,0.283042,1
0,0,-8.99013,0.307,0.309959,0
1,1,-2.85,0.355442,0.35461,0
0,0,-5.93002,0.346154,0.341564,1
1,0,-8.99013,0.342,0.347561,0
2,1,-9.1001,0.39693,0.396205,1
0,0,-8.99013,0.415,0.417683,0
0,0,-7.98011,0.483,0.481557,0
1,1,-8.15007,0.643855,0.644068,1
0,0,-8.99013,0.528,0.527439,0
1,0,-9.33009,0.305882,0.300326,1
0,0,-5.85002,0.436116,0.429072,1
1,1,-10.0001,0.332,0.330645,0
0,0,-3.74,0.393617,0.383333,1
1,0,-1.05,0.579439,0.571429,1
2,0,-3.06,0.688013,0.688889,0
0,0,-7.98013,0.619,0.618852,0
0,0,-6.85004,0.647208,0.649215,1
1,1,-6.36005,0.652038,0.655949,1
0,1,-6.11002,0.526917,0.524288,1
1,2,-9.6501,0.749423,0.750583,1
0,0,-2.49,0.733068,0.740426,1
1,2,-7.9801,0.616,0.612705,0
0,1,-1.37,0.6,0.59375,0
0,1,-5.46001,0.785235,0.788155,1
1,1,-3.38,0.451883,0.441558,1
0,0,-6.21007,0.530387,0.521429,1
1,2,-7.98011,0.548,0.546107,0
0,0,-4.38,0.4,0.389151,1
1,0,-8.73012,0.661885,0.660714,1
2,0,-4.47,0.784483,0.785294,1
0,0,-1.37,0.57554,0.560976,1
1,0,-2,0.782178,0.784946,1
2,1,-4.68,0.744681,0.748899,1
0,0,-1.14,0.4,0.142857,1
1,1,-2.75999,0.632124,0.630631,0
2,0,-3.03,0.531148,0.529412,1
0,0,-9.92013,0.690141,0.692229,1
1,1,-2.66,0.529851,0.515873,1
0,0,-4.21,0.619385,0.619165,1
1,1,-1.39,0.775,0.8125,1
0,0,-10.0001,0.785,0.785282,0
0,0,-2.97,0.782828,0.784211,1
1,0,-1.48,0.77551,0.780488,1
0,0,-7.98013,0.629,0.627049,0
1,2,-6.82004,0.512102,0.509855,1
2,1,-2.91,0.600683,0.592058,1
0,0,-1.57,0.775862,0.78,1
1,1,-6.34005,0.694708,0.697055,1
2,1,-3.29,0.782609,0.783784,1
0,0,-1.65,0.702991,0.704955,0
0,1,-1.26,0.777778,0.789474,1
0,1,-6.39007,0.618896,0.616558,0
1,2,-6.37007,0.585106,0.581878,0
2,3,-7.76011,0.756542,0.759064,1
0,0,-10.0001,0.785,0.785282,0
1,3,-4.03003,0.688385,0.68915,0
2,1,-1.52,0.792453,0.8,1
0,0,-3.77,0.709763,0.705234,1
1,3,-4.12,0.705314,0.70603,1
0,0,-1.67,0.525532,0.515695,0
1,1,-3.43,0.721362,0.72508,0
2,3,-1.92,0.716495,0.724719,1
0,0,-7.83008,0.769427,0.771131,1
0,1,-7.41005,0.73755,0.740027,1
1,1,-4.02,0.769802,0.778351,1
0,0,-1.39,0.742081,0.746412,0
0,0,-1.32,0.69697,0.68,1
1,1,-2.45,0.744939,0.757576,1
0,1,-5.40002,0.769373,0.775665,1
0,0,-8.01009,0.782067,0.78399,1
1,0,-2.48,0.509982,0.502846,0
2,2,-5.45002,0.771605,0.775641,1
0,0,-3.99,0.689243,0.6841,1
1,2,-1.61,0.790323,0.777778,1
0,0,-3.39,0.727273,0.732308,1
1,1,-1.44,0.777778,0.810811,1
0,0,-1.47,0.666667,0.675,1
1,2,-0.0199982,0.685246,0.686833,0
0,1,-4.93,0.775758,0.782881,1
1,1,-1.25,0.769231,0.777778,1
0,0,-1.83,0.761905,0.763158,1
0,0,-2.78,0.782123,0.783626,1
0,0,-10.0001,0.785,0.785282,0
0,0,-2.7,0.722513,0.724954,0
0,1,-4.43,0.712454,0.716475,1
1,2,-1.98,0.777778,0.791209,1
2,2,-1.79,0.775,0.791667,1
0,0,-7.9801,0.67,0.668033,0
1,2,-4.27,0.780886,0.784504,1
2,3,-2.02,0.588235,0.579787,1
0,0,-3.15,0.710356,0.707071,0
1,2,-3.65,0.476839,0.470085,1
0,0,-5.74002,0.79616,0.797856,1
0,0,-0.419997,0.794203,0.800623,0
1,1,-4.67,0.486141,0.483444,1
2,3,-1.47,0.765101,0.781955,1
0,0,-5.23,0.605431,0.599668,1
0,0,-2.16,0.777778,0.788991,1
1,1,-1.61,0.693965,0.690909,0
