actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-7.98013,0.308,0.311475,0
1,0,-6.55009,0.377871,0.383298,0
2,0,-1.48,0.367347,0.390244,1
0,0,-1.24,0.421546,0.414392,0
1,0,-2.45,0.376712,0.362319,1
2,0,-4.42003,0.495302,0.492372,0
0,0,-10.0001,0.321,0.319556,0
0,0,-6.5201,0.412565,0.416756,0
1,0,-1.35,0.444444,0.392857,1
2,0,-1.77,0.384615,0.428571,1
0,0,-6.17002,0.426641,0.433333,1
0,1,-3.91,0.417808,0.411972,1
1,0,-7.9801,0.472,0.472336,0
2,0,-4.08,0.427184,0.421927,1
0,1,-5.26005,0.61158,0.614907,0
0,1,-2.12,0.486726,0.495238,1
1,0,-4.97001,0.525,0.520833,1
2,1,-5,0.478088,0.483539,1
0,1,-6.06002,0.574013,0.576014,1
0,0,-3.2,0.506211,0.5,1
0,0,-4.91999,0.547899,0.54641,1
0,1,-2.37,0.506276,0.493274,1
0,0,-1.94,0.452632,0.436782,1
1,0,-1.3,0.618938,0.613692,0
2,1,-8.11007,0.665437,0.664994,1
0,1,-5.91006,0.677852,0.678161,0
0,1,-1.81,0.700413,0.693478,0
1,0,-4.18,0.705329,0.707395,1
2,0,-7.76008,0.719794,0.71916,1
0,0,-6.10009,0.710843,0.709786,0
0,1,-7.64006,0.375979,0.369333,1
1,0,-7.98009,0.44,0.433402,0
2,0,-6.55009,0.557411,0.553533,0
0,1,-6.80004,0.577267,0.573123,1
1,0,-8.99013,0.767,0.769309,0
0,1,-8.99013,0.67,0.670732,0
1,0,-8.90008,0.738167,0.738906,1
0,1,-2.44,0.77931,0.781022,1
1,0,-6.19005,0.73591,0.73719,1
0,1,-7.98013,0.6,0.598361,0
1,1,-1.58,0.79661,0.784314,1
2,1,-5.38007,0.789536,0.791922,0
0,1,-1.1,0.607143,0.59375,1
1,1,-3.96,0.700337,0.702422,1
0,1,-7.23007,0.670345,0.669958,1
0,0,-4.8,0.76556,0.76824,1
1,0,-1.18,0.698337,0.695214,0
2,2,-1.32,0.666667,0.64,1
0,0,-3.95002,0.747851,0.749258,0
1,0,0.600001,0.592593,0.575342,0
0,0,-7.98009,0.603,0.599385,0
1,1,-3.42,0.694382,0.695962,1
2,1,-5.2,0.703065,0.705534,1
0,0,-3.36,0.434599,0.427948,1
1,0,-5.35,0.513967,0.502879,1
2,1,-2.95,0.407407,0.395018,1
0,0,-7.98009,0.821,0.82377,0
0,0,1.61,0.633803,0.618644,0
1,0,-1.59,0.766667,0.788462,1
0,0,-4.06,0.70098,0.69898,1
1,0,-1.6,0.721311,0.716981,1
2,1,-0.94,0.635417,0.6375,1
0,0,-2.70003,0.739965,0.739526,0
1,2,-4.1,0.734893,0.738241,1
0,1,-8.02011,0.619889,0.616345,1
1,1,0.170001,0.727273,0.729008,0
2,2,-2.04,0.717949,0.718427,0
0,0,-3.23002,0.536741,0.526578,0
1,1,-8.28007,0.61869,0.614112,1
2,2,-7.98011,0.69,0.690574,0
0,1,-1.55,0.428571,0.375,1
1,0,-7.98011,0.699,0.697746,0
2,2,-1.61,0.766871,0.77551,1
0,0,-5.09001,0.780822,0.777778,1
1,1,-0.309999,0.783582,0.772727,1
0,0,-6.59008,0.648649,0.646055,0
1,1,-6.87007,0.641772,0.634465,1
0,0,-1.51,0.769231,0.772727,1
1,0,-0.459998,0.644699,0.636923,0
2,1,-4.47,0.467706,0.457275,1
0,0,-0.169998,0.796875,0.800676,0
0,0,-2.76,0.523316,0.518919,0
1,1,-3.82,0.783854,0.785326,1
0,0,-4.54003,0.722589,0.723056,0
1,2,-7.98011,0.774,0.77459,0
2,2,-1.23,0.688,0.669725,1
0,0,1.4,0.711656,0.697842,0
0,0,-2.38,0.483333,0.46875,1
1,0,-2.91,0.665529,0.66065,1
2,0,-4.45,0.778524,0.779582,1
0,1,-5.51003,0.770344,0.772812,1
1,1,-2.88,0.781726,0.781305,0
0,1,-3.94002,0.714491,0.713224,0
0,1,-2.45,0.704453,0.705628,1
1,2,-1.12,0.792771,0.792839,0
0,0,-4.07,0.594132,0.590331,1
1,0,-7.69006,0.622568,0.622517,1
0,0,-2.44,0.601626,0.595652,1
1,1,-1.7,0.774648,0.777778,1
2,0,-5.99011,0.74612,0.747153,0
0,1,-6.06002,0.78501,0.785571,1
0,0,1.71,0.818182,0.824074,0
1,1,-2.65,0.663043,0.648256,1
2,0,-3.78001,0.743025,0.741248,0
0,0,-3.46003,0.607088,0.6,0
1,0,-3.85,0.70082,0.696121,1
2,2,-1.48,0.755102,0.780488,1
0,1,-1.61,0.588957,0.578231,1
1,0,0.300002,0.772894,0.763052,0
2,2,-0.919998,0.718987,0.716981,0
0,1,-6.17005,0.609722,0.604885,1
1,2,-3.55,0.70524,0.700461,1
2,1,-1.36,0.783784,0.793103,1
0,1,-1.4,0.62754,0.622912,0
1,0,-1.41,0.761905,0.794118,1
0,2,-5.14007,0.725826,0.726356,0
0,1,-8.99013,0.764,0.765244,0
1,3,-8.82008,0.579186,0.577189,1
0,0,-2.73,0.767273,0.772201,1
1,3,-2.43,0.755102,0.759825,1
0,1,-2.29,0.636364,0.627907,1
1,1,-0.239998,0.761468,0.765677,0
2,0,-5.32,0.785219,0.785882,1
0,0,-0.429997,0.716763,0.71118,0
1,3,-1.55,0.637555,0.626728,0
2,0,1.93,0.709091,0.697674,0
0,0,1.72,0.793893,0.794393,0
0,0,-1.43,0.772727,0.805556,1
1,2,1.3,0.82659,0.838926,0
0,1,-3.65,0.716621,0.717949,1
0,0,-1.37,0.658333,0.648148,1
1,3,-1.58,0.762712,0.784314,1
0,1,-3.68001,0.630402,0.625966,0
1,1,-4.54,0.721723,0.722326,1
2,1,-1.23,0.699115,0.70297,1
0,1,-1.34,0.771429,0.814815,1
1,3,-2.61,0.669201,0.659919,1
2,0,-2.05,0.773585,0.785714,1
0,0,-1.78,0.683274,0.680934,1
1,3,1.77,0.706349,0.715686,0
2,1,-2.3,0.778626,0.788618,1
0,1,1.38,0.775758,0.780142,0
1,1,1.14,0.587302,0.575758,0
2,1,-1.38,0.538462,0.516129,1
0,0,0.920001,0.720379,0.716578,0
1,1,0.720001,0.74026,0.73913,0
2,1,1.32,0.71345,0.714286,0
0,0,0.500001,0.810277,0.816594,0
1,3,-1.07,0.7,0.694301,0
2,2,-5.37007,0.667857,0.66299,0
0,0,-5.63002,0.723724,0.722741,1
1,3,-1.8,0.713781,0.714286,1
2,1,-2.81,0.785714,0.787356,1
0,0,-0.109997,0.754777,0.751724,0
1,0,0.770001,0.761062,0.757426,0
2,2,-1.19,0.75,0.75,1
0,2,-1.03,0.714286,0.707865,1
0,0,-2.23,0.782258,0.784483,1
1,1,-2.76,0.769784,0.778626,1
2,0,-1.55,0.767857,0.770833,1
0,0,-0.81,0.722892,0.731343,1
1,1,-0.7,0.722222,0.75,1
0,0,-2.22,0.780488,0.782609,1
1,1,-0.7,0.75,0.75,1
0,1,-1.3,0.742424,0.758621,1
1,0,-1.28,0.758621,0.761905,1
2,1,1.64,0.784173,0.8,0
0,0,-0.67,0.710145,0.735849,1
1,3,-1.45,0.76087,0.789474,1
2,2,-0.75,0.701299,0.688525,1
0,0,-0.959999,0.733668,0.737143,1
1,3,-0.189999,0.704918,0.704082,1
2,2,-0.79,0.728395,0.707692,1
0,0,1.15,0.744681,0.737805,0
0,1,-1.16,0.767123,0.764103,1
1,2,0.290002,0.781022,0.772,0
2,2,1.42,0.763975,0.751825,0
0,0,1.48,0.754839,0.755725,0
1,3,-0.689999,0.813953,0.824324,1
0,1,-2.41,0.707819,0.704846,1
1,2,0.310001,0.720588,0.721774,0
2,0,-0.239997,0.7737,0.778878,0
0,0,1.78,0.728,0.712871,0
1,3,-1.36,0.810811,0.793103,1
2,1,-2.01,0.743842,0.743316,1
0,0,-1.95,0.770833,0.784091,1
1,0,-2.01,0.77451,0.787234,1
0,0,-0.999999,0.763547,0.77095,1
1,0,-1.59,0.783333,0.788462,1
2,2,-1.5,0.759382,0.759907,0
0,0,-2.1,0.783784,0.796117,1
1,0,-0.0999976,0.801917,0.806228,0
2,1,-1.03,0.704762,0.707865,1
0,1,-0.209999,0.75,0.75,1
1,3,-1.99,0.78,0.793478,1
0,0,-1.35,0.777778,0.785714,1
1,3,-0.889997,0.780612,0.785326,0
2,1,-2.51,0.72332,0.721519,1
0,0,-2.02,0.735294,0.744681,1
1,3,-2.67,0.762082,0.762846,1
0,0,0.0700024,0.780405,0.783088,0
1,2,-0.529999,0.75641,0.75,1
0,0,-0.429999,0.773973,0.778689,1
1,0,1.51,0.75,0.757812,0
0,0,-0.299999,0.736842,0.724771,1
1,3,-1,0.72549,0.732558,1
0,1,0.990001,0.769608,0.783333,0
1,0,-2.11,0.776786,0.788462,1
2,1,-1.31,0.75,0.791667,1
0,0,1.59,0.736111,0.741667,0
1,3,1.54,0.751678,0.744,0
2,1,1.39,0.77439,0.764286,0
0,1,1.33,0.770588,0.780822,0
1,3,-2.59,0.743295,0.746939,1
0,0,-7.23007,0.772397,0.773067,1
1,2,-1.08,0.751825,0.749354,0
2,1,-1.61,0.790323,0.796296,1
0,1,-1.5,0.756579,0.757353,1
1,2,-2.06,0.772102,0.771134,0
