actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-8.99013,0.343,0.338415,0
1,0,-10.0001,0.37,0.372984,0
0,0,-10.0001,0.444,0.443548,0
0,0,-10.0001,0.499,0.497984,0
0,0,-7.98013,0.607,0.605533,0
0,0,-10.0001,0.665,0.664315,0
1,0,-7.98011,0.562,0.560451,0
2,0,-3.9,0.512755,0.50266,1
0,0,-8.99013,0.707,0.708333,0
0,0,-8.99011,0.639,0.639228,0
1,0,-8.99013,0.713,0.712398,0
2,1,-9.58012,0.758333,0.760593,1
0,0,-8.99013,0.739,0.739837,0
1,1,-8.99013,0.685,0.684959,0
0,0,-8.99013,0.63,0.627033,0
1,1,-10.0001,0.787,0.78629,0
0,0,-9.3501,0.785885,0.785024,1
1,0,-10.0001,0.786,0.785282,0
0,0,-8.99013,0.734,0.735772,0
1,0,-10.0001,0.784,0.785282,0
0,0,-10.0001,0.786,0.78629,0
1,0,-7.98009,0.526,0.520492,0
0,0,-8.99011,0.425,0.423781,0
1,0,-1.73,0.77027,0.787879,1
0,0,-10.4701,0.785865,0.78617,1
1,1,-10.0001,0.784,0.785282,0
0,0,-7.98011,0.41,0.403689,0
1,1,-8.99013,0.776,0.775406,0
0,0,-8.99013,0.698,0.701219,0
0,0,-6.43003,0.783088,0.785448,1
0,0,-10.0001,0.785,0.78629,0
0,0,-10.0001,0.785,0.785282,0
1,0,-7.98012,0.607,0.603484,0
0,0,-7.98013,0.603,0.599385,0
0,0,-8.99011,0.494,0.492886,0
0,0,-7.98012,0.443,0.438525,0
1,1,-7.98013,0.717,0.715164,0
2,1,-8.99011,0.478,0.474593,0
0,0,-4.38,0.634011,0.630561,1
1,2,-8.99013,0.637,0.637195,0
0,0,-7.98011,0.557,0.554303,0
0,0,-5.89002,0.58815,0.586826,1
0,0,-10.0001,0.785,0.785282,0
0,0,-10.0001,0.786,0.785282,0
1,2,-7.98013,0.701,0.701844,0
2,3,-4.51,0.78125,0.784884,1
0,0,-10.0001,0.786,0.78629,0
1,0,-10.0001,0.785,0.78629,0
0,0,-10.0001,0.786,0.78629,0
1,2,-7.37005,0.598106,0.596127,1
0,0,-8.99012,0.609,0.60874,0
0,0,-8.99013,0.44,0.439024,0
0,0,-10.0001,0.546,0.545363,0
0,0,-4.74,0.6,0.59673,1
1,2,-3.2,0.574534,0.578431,1
2,1,-6.93004,0.610072,0.60972,1
0,0,-1.82,0.783133,0.8,1
1,2,-10.0001,0.785,0.78629,0
2,1,-6.25003,0.78327,0.785714,1
0,0,-3.48,0.787149,0.784232,1
1,1,-7.98011,0.687,0.685451,0
0,1,-10.0001,0.652,0.652218,0
1,1,-10.0001,0.714,0.71371,0
2,1,-7.44007,0.74026,0.739976,1
0,0,-8.99011,0.609,0.607724,0
1,2,-1.83,0.50823,0.5,0
2,1,-6.94004,0.786555,0.787053,1
0,0,-10.0001,0.786,0.78629,0
1,2,-4.51,0.744318,0.744186,1
0,0,-10.0001,0.785,0.785282,0
1,1,-10.0001,0.795,0.795363,0
2,3,-5.03,0.863861,0.863636,1
0,0,-7.63006,0.618976,0.615854,1
1,1,-3.08,0.754839,0.755102,1
0,0,-5.65001,0.896996,0.89738,1
1,1,-10.0001,0.78,0.780242,0
2,1,-8.51008,0.924202,0.924731,1
0,0,-10.0001,0.929,0.929435,0
1,1,-8.99013,0.894,0.897358,0
2,3,-7.46005,0.927357,0.928012,1
0,0,-8.99013,0.893,0.895325,0
0,0,-8.99013,0.859,0.860772,0
0,0,-6.64003,0.925664,0.928187,1
1,1,-3.67,0.929105,0.926923,1
2,2,-8.99012,0.766,0.769309,0
0,0,-4.24,0.784615,0.785489,1
0,0,-8.99013,0.891,0.895325,0
0,0,-7.98011,0.662,0.66291,0
0,0,-10.0001,0.928,0.928427,0
0,0,-8.99013,0.92,0.922764,0
1,2,-8.99011,0.775,0.776423,0
0,0,-8.99013,0.815,0.815041,0
1,2,-10.0001,0.927,0.928427,0
0,2,-2.86,0.925134,0.932961,1
1,2,-8.99011,0.818,0.819106,0
0,2,-3.38,0.770975,0.779377,1
0,2,-7.98011,0.837,0.843238,0
0,2,-4.67,0.92663,0.927778,1
1,2,-5.29,0.775895,0.776699,1
0,0,-10.2401,0.927568,0.928026,1
